MC	<p>ce30_9934</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Correct	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect
MC	<p>ce30_5077</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Correct	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	Sour tastants are associated with low pH and increased proton concentration.	Incorrect
MC	<p>ce30_bae5</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sour tastants are associated with low pH and increased proton concentration.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Correct
MC	<p>3dba_5e94</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Correct	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect
MC	<p>3dba_c677</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Bitter tastants are detected by the same receptor used for salty taste.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Correct	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect
MC	<p>ce30_598d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Olfactory transduction primarily depends on <strong><strong>cGMP</strong></strong> made by guanylyl cyclase.	Correct	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect
MC	<p>3dba_3535</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Odor identity is encoded by patterns of activity across many receptor types.	Correct	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	A cascade is less sensitive because it prevents second messenger production.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect
MC	<p>ce30_0479</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Olfactory transduction primarily depends on <strong><strong>cGMP</strong></strong> made by guanylyl cyclase.	Correct	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect	Salty taste is often detected by direct ion flow across the membrane.	Incorrect
MC	<p>3dba_6275</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Bitter taste commonly uses <strong><strong>GPCR</strong></strong> type receptors and downstream signaling.	Correct	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect
MC	<p>3dba_e99f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Correct	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect
MC	<p>3dba_b05f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	A cascade is less sensitive because it prevents second messenger production.	Incorrect	In olfaction, <strong><strong>cAMP</strong></strong> can act as a second messenger that gates ion channels.	Correct	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect
