MC	<p>eeff_d73c</p> Which one of the following will <strong><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;">INCREASE</span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect
MC	<p>eeff_b1f9</p> Which one of the following will <strong><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;">INCREASE</span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;">increase</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct
MC	<p>eeff_d7b1</p> Which one of the following will <strong><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;">INCREASE</span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong> base pairing	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect
MC	<p>eeff_695a</p> Which one of the following will <strong><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;">INCREASE</span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong> base pairing	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect
MC	<p>7d42_dc45</p> Which one of the following will <strong><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;">INCREASE</span></strong></span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong> base pairing	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect
MC	<p>803d_b1bb</p> Which one of the following will <strong><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;">INCREASE</span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct
MC	<p>e983_0069</p> Which one of the following will <strong><strong><span style="color: #b74300;"><strong><span style="color: #b74300;">INCREASE</span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect
MC	<p>e983_27b7</p> Which one of the following will <strong><strong><span style="color: #b74300;"><strong><span style="color: #b74300;">INCREASE</span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with amino groups <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #003fff;">cytosine (C)</span></strong>	Incorrect	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect
MC	<p>803d_07b6</p> Which one of the following will <strong><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;">INCREASE</span></strong></span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong> base pairing	Incorrect
MC	<p>eeff_4ecf</p> Which one of the following will <strong><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;">INCREASE</span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #a719db;">decrease</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect	<strong><span style="color: #b74300;"><strong><span style="color: #b74300;">increase</span></strong></span></strong> the amount of <strong><span style="color: #003fff;"><strong><span style="color: #003fff;">cytosine (C)</span></strong> (C)</span></strong> + <strong><span style="color: #000000;"><strong><span style="color: #000000;">guanine (G)</span></strong> (G)</span></strong> base pairing	Correct	<strong><span style="color: #b74300;">increase</span></strong> the amount of <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong> base pairing	Incorrect
MC	<p>eeff_ff30</p> Which one of the following will <strong><strong><span style="color: #b74300;"><strong><span style="color: #b74300;"><strong><span style="color: #b74300;">INCREASE</span></strong></span></strong></span></strong></strong> the melting temperature (T<sub>m</sub>) of a DNA strand?	<strong><span style="color: #b74300;">increase</span></strong> the amount of pyrimidine nucleobases, <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;">decrease</span></strong> the amount of <strong><span style="color: #003fff;">cytosine (C)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong> base pairing	Incorrect	<strong><span style="color: #b74300;">increase</span></strong> the amount of nucleobases with ketone groups, <strong><span style="color: #000000;">guanine (G)</span></strong> + <strong><span style="color: #d40000;">thymine (T)</span></strong>	Incorrect	<strong><span style="color: #a719db;"><strong><span style="color: #a719db;">decrease</span></strong></span></strong> the amount of <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">adenine (A)</span></strong> (A)</span></strong> + <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">thymine (T)</span></strong> (T)</span></strong> base pairing	Correct	<strong><span style="color: #a719db;">decrease</span></strong> the amount of purine nucleobases, <strong><span style="color: #007a00;">adenine (A)</span></strong> + <strong><span style="color: #000000;">guanine (G)</span></strong>	Incorrect
