MC	<p>b005_450c</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	development of super-resolved fluorescence microscopy	Incorrect
MC	<p>b005_3463</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Incorrect
MC	<p>b005_af30</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the genomes of extinct hominins and human evolution	Correct	development of multiscale models for complex chemical systems	Incorrect	discoveries of mechanisms for autophagy	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	discoveries of machinery regulating vesicle transport in our cells	Incorrect
MC	<p>b005_10a4</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect
MC	<p>b005_b9bc</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of mechanisms for autophagy	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	development of multiscale models for complex chemical systems	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect
MC	<p>b005_206f</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of multiscale models for complex chemical systems	Incorrect
MC	<p>5d70_466f</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Correct
MC	<p>5d70_6219</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_bac0</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	development of multiscale models for complex chemical systems	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect
MC	<p>b005_f435</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct
MC	<p>5d70_7a24</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
