MC	<p>b005_73a0</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of machinery regulating vesicle transport in our cells	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect
MC	<p>b005_08ad</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	discoveries of mechanisms for autophagy	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct
MC	<p>b005_9114</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	development of super-resolved fluorescence microscopy	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect
MC	<p>5d70_db20</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries of cells that constitute a positioning system in the brain	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_4049</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect
MC	<p>5d70_1667</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Correct
MC	<p>b005_b29e</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
MC	<p>b005_e7bf</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect
MC	<p>b005_52d3</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect
MC	<p>5d70_ee83</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>b005_ae1a</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Incorrect	development of super-resolved fluorescence microscopy	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct
