MC	<p>4147_4e37</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect
MC	<p>501b_2a16</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They allow <strong><span style="color: #b74300;">passage</span></strong> of hydrophilic <strong><span style="color: #3b7600;">substances</span></strong> across the membrane	Incorrect	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect
MC	<p>c677_7a58</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect
MC	<p>1b98_fd17</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct
MC	<p>0b07_2195</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect
MC	<p>8a90_4a7f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect
MC	<p>e93f_6648</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	They provide a hydrophilic channel for certain <strong><span style="color: #076dad;">molecules</span></strong> or ions to use as a tunnel	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>e93f_644c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	They provide a hydrophilic channel for certain <strong><span style="color: #076dad;">molecules</span></strong> or ions to use as a tunnel	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect
MC	<p>c677_831f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect
MC	<p>e93f_45ce</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect
MC	<p>a0af_2b90</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct
