MC	<p>097f_9af1</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Photon absorption changes <strong><strong>retinal</strong></strong> shape and activates <strong><strong>rhodopsin</strong></strong>.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect
MC	<p>4106_54b6</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Correct
MC	<p>4106_7d9a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong><strong>retinal</strong></strong>.	Correct	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect
MC	<p>4106_5fca</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Correct	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect
MC	<p>4106_8930</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Correct	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect
MC	<p>097f_ae79</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Dark current in rods is supported by <strong><strong>cGMP</strong></strong> gated channel opening.	Correct	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect
MC	<p>4106_ec04</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Correct
MC	<p>097f_90bd</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Rods are more sensitive to low light than cones.	Correct
MC	<p>4106_824a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rod photoreceptors depolarize strongly in response to light.	Correct	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect
MC	<p>4106_84d8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Incorrect	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Correct	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect
MC	<p>097f_67e9</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Correct	Phototransduction begins by synthesizing <strong>cGMP</strong> from GDP.	Incorrect	Cones are more sensitive to dim light than rods.	Incorrect
