MC	<p>229d_c2d3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Bitter identity is preserved at the periphery by one receptor per cell logic.	Correct	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect
MC	<p>4ad2_8bfc</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Taste categories are encoded only by intensity,<strong> <strong>NOT</strong> </strong>by which pathway is activated.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Correct
MC	<p>229d_0570</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Correct
MC	<p>229d_0533</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Correct	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect
MC	<p>4ad2_7487</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Correct	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect
MC	<p>229d_ea96</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Correct	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect
MC	<p>229d_7f74</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Correct
MC	<p>229d_e86b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Correct	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect
MC	<p>4ad2_8c7f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Correct
MC	<p>4ad2_c453</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Correct	Odor identity is lost before reaching the brain, so the brain receives only intensity information.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect
MC	<p>229d_1483</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Correct	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect
