MC	<p>1059_9b2b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>?</p>	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> play a role in many important biological processes.	Incorrect	For <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong> to occur, the chemical formulas of both the reactant and the product can be the same.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always involve a change in the chemical composition of <strong><span style="color: #a719db;">substances</span></strong>.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> are always either <strong><span style="color: #b74300;">exothermic</span></strong> or <strong><span style="color: #076dad;">endothermic</span></strong>.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always involve <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">physical changes</span></strong></span></strong>.	Correct
MC	<p>cc9c_f9a9</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>?</p>	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur at a specific temperature.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur when <strong><span style="color: #007a00;">energy</span></strong> is released.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> cannot be <strong><span style="color: #b74300;">exothermic</span></strong>.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always involve a change in the chemical composition of <strong><span style="color: #a719db;"><strong><span style="color: #a719db;">substances</span></strong></span></strong>.	Correct	Reactions that occur in living organisms are<strong> <strong>NOT</strong> </strong><strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>.	Incorrect
MC	<p>cc9c_01f4</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>?</p>	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always result in an increase in entropy.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always result in an increase in the number of atoms.	Incorrect	For <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong> to occur, the chemical identity of the <strong><span style="color: #a719db;"><strong><span style="color: #a719db;">substances</span></strong></span></strong> must change.	Correct	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur in the presence of light.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur when <strong><span style="color: #007a00;">energy</span></strong> is released.	Incorrect
MC	<p>cc9c_10d3</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>?</p>	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> are involved in many important processes in biology.	Correct	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always involve <strong><span style="color: #3b7600;">physical changes</span></strong>.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> cannot be <strong><span style="color: #076dad;">endothermic</span></strong>.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always result in an increase in the number of atoms.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur at a specific temperature.	Incorrect
MC	<p>cc9c_4a83</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>?</p>	Sugar (glucose) dissolving in water is a <strong><span style="color: #c80085;">chemical&nbsp;reaction</span>.</strong>	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur in the presence of light.	Incorrect	For <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong> to occur, the chemical identity of the <strong><span style="color: #a719db;"><strong><span style="color: #a719db;">substances</span></strong></span></strong> must change.	Correct	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur when <strong><span style="color: #007a00;">energy</span></strong> is released.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> are always <strong><span style="color: #076dad;">endothermic</span></strong>.	Incorrect
MC	<p>cc9c_5c7c</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>?</p>	Reactions that occur in living organisms are<strong> <strong>NOT</strong> </strong><strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always result in an increase in entropy.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> are always either <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">exothermic</span></strong></span></strong> or <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">endothermic</span></strong></span></strong>.	Correct	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur when <strong><span style="color: #007a00;">energy</span></strong> is released.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur at a specific temperature.	Incorrect
MC	<p>1059_1a1b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>?</p>	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> play a role in many important biological processes.	Incorrect	For <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong> to occur, the chemical identity of the <strong><span style="color: #a719db;">substances</span></strong> must change.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur when <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">energy</span></strong></span></strong> is released.	Correct	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always involve the forming and breaking of chemical bonds	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> are always either <strong><span style="color: #b74300;">exothermic</span></strong> or <strong><span style="color: #076dad;">endothermic</span></strong>.	Incorrect
MC	<p>1059_0dde</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>?</p>	For <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong> to occur, the chemical identity of the <strong><span style="color: #a719db;">substances</span></strong> must change.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always involve a change in the chemical composition of <strong><span style="color: #a719db;">substances</span></strong>.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always involve the forming and breaking of chemical bonds	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always result in a decrease in the total <strong><span style="color: #007a00;"><strong><span style="color: #007a00;">energy</span></strong></span></strong> of the system.	Correct	Salt (NaCl) dissolving in water, breaking the ionic bonds between Na<sup>+</sup> and Cl<sup>&ndash;</sup>, is a physical change.	Incorrect
MC	<p>1059_7fa3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>?</p>	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always involve the forming and breaking of chemical bonds	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always involve a change in the chemical composition of <strong><span style="color: #a719db;">substances</span></strong>.	Incorrect	Sugar (glucose) dissolving in water is a <strong><span style="color: #c80085;">chemical&nbsp;reaction</span>.</strong>	Correct	For <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong> to occur, the chemical identity of the <strong><span style="color: #a719db;">substances</span></strong> must change.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always transform one or more <strong><span style="color: #a719db;">substances</span></strong> into one or more different <strong><span style="color: #a719db;">substances</span></strong>.	Incorrect
MC	<p>cc9c_cdb5</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> about <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>?</p>	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur when <strong><span style="color: #007a00;">energy</span></strong> is added.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always result in a decrease in entropy.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> are always either <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">exothermic</span></strong></span></strong> or <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">endothermic</span></strong></span></strong>.	Correct	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always result in an increase in the total <strong><span style="color: #007a00;">energy</span></strong> of the system.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur in the presence of light.	Incorrect
MC	<p>1059_cf95</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong>?</p>	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always transform one or more <strong><span style="color: #a719db;">substances</span></strong> into one or more different <strong><span style="color: #a719db;">substances</span></strong>.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> always involve a change in the chemical composition of <strong><span style="color: #a719db;">substances</span></strong>.	Incorrect	<strong><span style="color: #c80085;">Chemical&nbsp;reactions</span></strong> only occur at a specific temperature.	Correct	The rate of a chemical reaction depends on temperature, pressure, and the presence of catalysts.	Incorrect	For <strong><span style="color: #c80085;">chemical&nbsp;reactions</span></strong> to occur, the chemical identity of the <strong><span style="color: #a719db;">substances</span></strong> must change.	Incorrect
