MAT	<p>1623_9156</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	the point of contact between paired chromatids that marks a crossover site	crossing over	the actual exchange of segments between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #007576;">homologous</span></strong>	corresponding or alike in certain critical attributes	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes containing identical genetic loci although possibly different allelic forms
MAT	<p>1623_d824</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	specialized chromatin structures that link <strong><span style="color: #d40000;">homologous chromosomes</span></strong> together	crossing over	two <strong><span style="color: #d40000;">homologous chromosomes</span></strong> line up and parts of the chromosomes can be exchanged	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosomes which contain the same genes in the same order along their chromosomal arms	<strong><span style="color: #007576;">homologous</span></strong>	having a similar position, structure, value, or purpose
MAT	<p>1623_d7ec</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	synapsis	process of pairing of homologous (maternal and paternal) chromosomes	<strong><span style="color: #007576;">homologous</span></strong>	having a similar position, structure, value, or purpose	crossing over	a process by which parts of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> are interchanged	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosome pairs (one from each parent) that are similar in length, gene position, and centromere location
MAT	<p>1623_d078</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosome pairs (one from each parent) that are similar in length, gene position, and centromere location	chiasmata	specialized chromatin structures that link <strong><span style="color: #d40000;">homologous chromosomes</span></strong> together	sister chromatids	identical copies (chromatids) of a chromosome formed by DNA replication	<strong><span style="color: #007576;">homologous</span></strong>	similar in structure and evolutionary origin, though<strong> <strong>NOT</strong> </strong>necessarily in function
MAT	<p>1623_833a</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	synapsis	the joining of the two <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chiasmata	the point of contact between paired chromatids that marks a crossover site	<strong><span style="color: #007576;">homologous</span></strong>	corresponding or similar in position, value, structure, or function	crossing over	the actual exchange of segments between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>
MAT	<p>1623_8404</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	a single duplicated chromosome with a common centromere	<strong><span style="color: #007576;">homologous</span></strong>	similar in structure and evolutionary origin, though<strong> <strong>NOT</strong> </strong>necessarily in function	chiasmata	the physical link between non-sister chromatids of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> that remain after crossing over	crossing over	the exchange of genes between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>, resulting in a mixture of parental characteristics
MAT	<p>1623_fd6c</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	the visible link between two (non-sister) chromatids belonging to <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosome pairs (one from each parent) that are similar in length, gene position, and centromere location	crossing over	a process by which parts of <strong><span style="color: #d40000;">homologous chromosomes</span></strong> are interchanged	sister chromatids	two identical copies of the same chromosome formed by DNA replication
MAT	<p>1623_8f33</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	chiasmata	a point of overlap of paired chromatids at which exchange of genetic material has taken place	synapsis	process of pairing of homologous (maternal and paternal) chromosomes	<strong><span style="color: #007576;">homologous</span></strong>	similar in structure and evolutionary origin, though<strong> <strong>NOT</strong> </strong>necessarily in function	sister chromatids	two identical copies of the same chromosome formed by DNA replication
MAT	<p>1623_4c24</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	two identical copies of the same chromosome attached to each other by the centromere	<strong><span style="color: #007576;">homologous</span></strong>	having a similar position, structure, value, or purpose	synapsis	the matching-up of homologous pairs prior to their segregation	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	two chromosomes containing identical genetic loci although possibly different allelic forms
MAT	<p>1623_c9ea</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #14703a;">crossing over</span>	the exchange of genetic material between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<span style="color: #8d328d;">synapsis</span>	process of pairing of homologous (maternal and paternal) chromosomes	<span style="color: #036594;">sister chromatids</span>	two identical copies of the same chromosome attached to each other by the centromere	<span style="color: #765909;">chiasmata</span>	a point of overlap of paired chromatids at which exchange of genetic material has taken place
MAT	<p>1623_36ad</p> <p>Match each of the following Meiosis terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	sister chromatids	two identical copies of one chromosome specifically created for cell division	<strong><span style="color: #d40000;">homologous chromosomes</span></strong>	chromosome pairs (one from each parent) that are similar in length, gene position, and centromere location	crossing over	the exchange of genetic material between <strong><span style="color: #d40000;">homologous chromosomes</span></strong>	<strong><span style="color: #007576;">homologous</span></strong>	having a similar position, structure, value, or purpose
