MC	<p>d800_6730</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>d800_f45d</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>fecf_b3f0</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect
MC	<p>fecf_53b7</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect
MC	<p>a3ef_b214</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect
MC	<p>fecf_76bb</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect
MC	<p>023d_7192</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>d800_262a</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>fecf_7212</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect
MC	<p>fecf_36f8</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect
MC	<p>d800_b1af</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct
