MC	<p>229d_3a57</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Compared with smell, taste is organized into a few basic categories rather than many distinct identities.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Smell uses only a small set of receptors, so most odorants activate the same receptor.	Correct
MC	<p>25e8_337d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Correct	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect
MC	<p>229d_db54</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter identity is preserved at the periphery by one receptor per cell logic.	Correct	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code for odor identity.	Incorrect
MC	<p>229d_8c4f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Bitter taste discrimination is high because each bitter taste cell expresses only one bitter receptor.	Correct
MC	<p>229d_b25f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	A single olfactory sensory neuron typically expresses one receptor type.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Correct
MC	<p>229d_9f5b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Different odorants can be distinguished even when they share some receptors, because the overall activation pattern differs.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Incorrect	Olfactory sensory neurons usually express all olfactory receptor genes.	Correct	Bitter perception is frequently treated as a danger signal, so fine bitter identity is<strong> <strong>NOT</strong> </strong>strongly separated.	Incorrect	Coexpression of multiple bitter receptors in the same taste cells reduces the ability to label many separate bitter stimuli.	Incorrect
MC	<p>229d_dbcf</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Odor discrimination can rely on different receptor activation patterns rather than a one odor to one receptor map.	Incorrect	Taste uses hundreds of receptor types to encode thousands of distinct taste identities like smell.	Correct	Odor identity is encoded by patterns of activity across many olfactory receptor types.	Incorrect	Olfaction supports high discrimination partly because many receptors contribute to identity coding.	Incorrect
MC	<p>25e8_954b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Olfactory signals are mixed into a single channel before the brain, which prevents odor discrimination.	Incorrect	Taste coding often uses labeled line logic for categories like bitter, sweet, and umami.	Correct	Odor identity is determined mainly by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor activation patterns.	Incorrect
MC	<p>25e8_46da</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Bitter identity is preserved at the periphery by one receptor per cell logic.	Incorrect	Olfaction is low discrimination because it relies on labeled line coding for a few odor categories.	Incorrect	Taste identity is primarily encoded by combinatorial patterns across many receptor types, like olfaction.	Incorrect	Some taste qualities are carried by dedicated pathways that preserve category identity.	Correct	Bitter taste discrimination is limited because bitter uses photoreceptors rather than chemoreceptors.	Incorrect
MC	<p>229d_f44a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning sensory coding principles (smell vs taste)?</p>	An individual olfactory sensory neuron usually expresses a single olfactory receptor gene.	Incorrect	Bitter taste is often encoded as an aversive category rather than many distinct bitter identities.	Incorrect	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Correct	Smell can distinguish many stimuli because odor identity depends on a large receptor repertoire and pattern coding.	Incorrect	Many bitter sensing taste cells express multiple bitter receptors, which limits preservation of bitter identity at the periphery.	Incorrect
MC	<p>25e8_470e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of sensory coding principles (smell vs taste)?</p>	Bitter taste does<strong> <strong>NOT</strong> </strong>use receptors and occurs only by diffusion into taste cells.	Incorrect	Taste is commonly described using a small number of basic qualities (sweet, sour, salty, bitter, and umami).	Correct	Each odorant activates only one olfactory receptor, so odor identity uses a one odor to one receptor code.	Incorrect	Sweet and bitter activate the same dedicated pathway, so the brain cannot separate them.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes at the same time.	Incorrect
